order_id,fk_buyer_id,fk_depot_id,sales_order_status,creation_time
120012,84052,4,Rejected,2021-07-01 06:57:20.0
120015,68000,3,Rejected,2021-07-01 07:02:32.0
120018,20908,1,Shipped,2021-07-01 07:05:13.0
120021,75204,4,Shipped,2021-07-01 07:14:04.0
120024,41728,8,Rejected,2021-07-01 07:18:57.0
120027,18632,1,Rejected,2021-07-01 07:22:43.0
120030,59860,3,Shipped,2021-07-01 07:25:18.0
120033,76096,3,Rejected,2021-07-01 07:26:10.0
120036,18632,1,Shipped,2021-07-01 07:26:21.0
120039,78244,2,Shipped,2021-07-01 08:10:58.0
120042,45536,1,Rejected,2021-07-01 08:10:59.0
120045,98908,9,Rejected,2021-07-01 08:11:25.0
120048,95844,9,Shipped,2021-07-01 08:20:53.0
120051,75252,2,Rejected,2021-07-01 08:24:56.0
120054,75252,2,Rejected,2021-07-01 08:25:34.0
120057,84652,2,Rejected,2021-07-01 08:26:20.0
120060,48308,5,Rejected,2021-07-01 08:34:18.0
120063,100240,9,Rejected,2021-07-01 08:44:39.0
120066,41816,8,Rejected,2021-07-01 08:46:23.0
120069,21184,1,Shipped,2021-07-01 08:51:25.0
120072,18704,1,Rejected,2021-07-01 08:56:33.0
120075,99752,9,Shipped,2021-07-01 08:58:01.0
120078,71276,1,Shipped,2021-07-01 08:58:41.0
120081,26468,1,Rejected,2021-07-01 09:02:34.0
120084,26468,1,Rejected,2021-07-01 09:04:22.0
120087,79676,3,Shipped,2021-07-01 09:05:27.0
120090,28328,5,Rejected,2021-07-01 09:07:45.0
120093,63340,2,Shipped,2021-07-01 09:11:44.0
120096,98592,1,Rejected,2021-07-01 09:12:15.0
120099,54492,5,Rejected,2021-07-01 09:14:30.0
120102,98592,1,Rejected,2021-07-01 09:16:23.0
120105,44288,8,Shipped,2021-07-01 09:23:41.0
120108,58796,1,Shipped,2021-07-01 09:27:58.0
120111,54492,5,Rejected,2021-07-01 09:29:51.0
120114,54492,5,Rejected,2021-07-01 09:30:50.0
120117,54492,5,Rejected,2021-07-01 09:33:03.0
120120,54492,5,Rejected,2021-07-01 09:37:14.0
120123,52252,2,Shipped,2021-07-01 09:38:43.0
120126,54492,5,Rejected,2021-07-01 09:53:50.0
120129,54484,5,Rejected,2021-07-01 09:57:26.0
120132,75252,2,Rejected,2021-07-01 10:01:01.0
120135,75252,2,Shipped,2021-07-01 10:03:07.0
120138,54484,5,Rejected,2021-07-01 10:07:03.0
120141,88928,7,Rejected,2021-07-01 10:08:28.0
120144,70988,7,Rejected,2021-07-01 10:09:04.0
120147,94152,9,Shipped,2021-07-01 10:12:27.0
120150,59904,8,Rejected,2021-07-01 10:15:48.0
120153,1208,1,Shipped,2021-07-01 10:33:25.0
120156,97984,5,Shipped,2021-07-01 10:36:00.0
120159,91152,1,Shipped,2021-07-01 10:49:10.0
120162,34748,5,Rejected,2021-07-01 10:52:51.0
120165,100356,1,Rejected,2021-07-01 10:56:05.0
120168,94668,1,Rejected,2021-07-01 11:11:05.0
120171,96684,3,Rejected,2021-07-01 11:12:28.0
120174,100356,1,Rejected,2021-07-01 11:13:26.0
120177,96684,3,Rejected,2021-07-01 11:14:39.0
120180,95700,1,Rejected,2021-07-01 11:19:25.0
120183,36140,1,Shipped,2021-07-01 11:19:37.0
120186,79652,8,Rejected,2021-07-01 11:27:05.0
120189,38308,1,Rejected,2021-07-01 11:31:46.0
120192,96684,3,Rejected,2021-07-01 11:33:27.0
120195,78588,4,Shipped,2021-07-01 11:37:42.0
120198,40176,1,Rejected,2021-07-01 11:56:22.0
120201,53728,1,Rejected,2021-07-01 12:00:18.0
120204,39432,1,Shipped,2021-07-01 12:06:05.0
120207,68680,2,Shipped,2021-07-01 12:19:14.0
120210,100436,2,Rejected,2021-07-01 12:24:05.0
120213,64272,3,Rejected,2021-07-01 12:36:52.0
120216,44512,9,Rejected,2021-07-01 12:42:19.0
120219,25440,1,Shipped,2021-07-01 12:45:38.0
120222,89896,4,Shipped,2021-07-01 12:46:54.0
120225,44512,9,Shipped,2021-07-01 12:48:30.0
120228,70224,3,Rejected,2021-07-01 12:53:23.0
120231,79652,8,Rejected,2021-07-01 12:56:22.0
120234,79652,8,Rejected,2021-07-01 12:58:03.0
120237,78008,9,Rejected,2021-07-01 13:09:55.0
120240,99052,9,Rejected,2021-07-01 13:10:35.0
120243,44368,9,Rejected,2021-07-01 13:15:39.0
120246,37516,1,Rejected,2021-07-01 13:21:48.0
120249,38368,1,Shipped,2021-07-01 13:25:02.0
120252,77900,2,Shipped,2021-07-01 13:33:31.0
120255,40680,1,Shipped,2021-07-01 13:38:43.0
120258,47312,2,Rejected,2021-07-01 13:48:31.0
120261,35540,1,Rejected,2021-07-01 13:53:53.0
120264,12440,1,Shipped,2021-07-01 13:57:08.0
120267,45196,8,Rejected,2021-07-01 14:08:48.0
120270,82980,8,Rejected,2021-07-01 14:13:13.0
120273,54204,9,Rejected,2021-07-01 14:14:16.0
120276,56736,8,Rejected,2021-07-01 14:31:00.0
120279,79652,8,Rejected,2021-07-01 14:33:49.0
120282,79652,8,Rejected,2021-07-01 14:35:49.0
120285,44400,9,Rejected,2021-07-01 14:42:13.0
120288,78636,3,Shipped,2021-07-01 14:55:37.0
120291,65144,1,Rejected,2021-07-01 15:12:01.0
120294,65144,1,Rejected,2021-07-01 15:15:37.0
120297,92408,1,Rejected,2021-07-01 15:37:00.0
120300,100488,9,Rejected,2021-07-01 15:38:37.0
120303,92784,3,Rejected,2021-07-01 16:22:32.0
120306,49660,8,Rejected,2021-07-01 16:57:22.0
120309,32352,1,Rejected,2021-07-01 17:00:31.0
120312,92408,1,Rejected,2021-07-01 17:13:43.0
120315,92408,1,Rejected,2021-07-01 17:20:20.0
120318,41840,8,Rejected,2021-07-01 18:32:41.0
120321,100604,1,Rejected,2021-07-01 22:45:50.0
120324,59792,8,Rejected,2021-07-02 01:03:34.0
120327,100616,2,Rejected,2021-07-02 01:10:07.0
120330,100616,2,Rejected,2021-07-02 01:12:14.0
120333,100616,2,Rejected,2021-07-02 01:13:00.0
120336,100616,2,Rejected,2021-07-02 01:13:34.0
120339,100616,2,Rejected,2021-07-02 01:14:28.0
120342,100616,2,Rejected,2021-07-02 01:15:43.0
120345,48096,8,Rejected,2021-07-02 01:31:48.0
120348,92408,1,Rejected,2021-07-02 02:35:08.0
120351,79652,8,Rejected,2021-07-02 02:35:12.0
120354,87136,8,Rejected,2021-07-02 02:53:59.0
120357,100144,9,Rejected,2021-07-02 03:22:33.0
120360,76672,8,Rejected,2021-07-02 03:59:37.0
120363,79652,8,Rejected,2021-07-02 04:11:05.0
120366,30796,1,Rejected,2021-07-02 04:15:54.0
120369,30796,1,Rejected,2021-07-02 04:21:16.0
120372,98452,3,Rejected,2021-07-02 04:32:04.0
120375,42848,8,Shipped,2021-07-02 04:36:23.0
120378,47592,8,Rejected,2021-07-02 04:51:51.0
120381,86416,7,Rejected,2021-07-02 04:55:50.0
120384,86416,7,Rejected,2021-07-02 04:57:15.0
120387,86416,7,Rejected,2021-07-02 04:58:56.0
120390,86416,7,Rejected,2021-07-02 04:59:16.0
120393,97476,3,Rejected,2021-07-02 05:03:06.0
120396,47592,8,Rejected,2021-07-02 05:06:29.0
120399,47592,8,Shipped,2021-07-02 05:15:30.0
120402,87076,8,Rejected,2021-07-02 05:16:43.0
120405,86692,9,Rejected,2021-07-02 05:29:51.0
120408,93616,1,Rejected,2021-07-02 05:32:48.0
120411,99416,3,Rejected,2021-07-02 05:38:27.0
120414,100012,3,Shipped,2021-07-02 05:44:02.0
120417,67212,2,Rejected,2021-07-02 05:44:50.0
120420,87076,8,Shipped,2021-07-02 05:56:26.0
120423,77488,2,Shipped,2021-07-02 06:08:34.0
120426,96496,2,Shipped,2021-07-02 06:10:53.0
120429,85584,8,Rejected,2021-07-02 06:11:27.0
120432,67212,2,Rejected,2021-07-02 06:20:33.0
120435,94044,9,Rejected,2021-07-02 06:25:27.0
120438,86692,9,Rejected,2021-07-02 06:25:38.0
120441,69192,2,Shipped,2021-07-02 06:31:51.0
120444,53744,1,Shipped,2021-07-02 06:33:52.0
120447,32884,5,Rejected,2021-07-02 06:39:51.0
120450,52520,5,Rejected,2021-07-02 06:39:57.0
120453,32884,5,Shipped,2021-07-02 06:40:28.0
120456,32768,1,Shipped,2021-07-02 06:41:48.0
120459,1520,1,Rejected,2021-07-02 06:41:58.0
120462,70524,1,Rejected,2021-07-02 06:48:32.0
120465,48308,5,Rejected,2021-07-02 06:49:40.0
120468,67212,2,Rejected,2021-07-02 06:51:28.0
120471,52520,5,Rejected,2021-07-02 06:53:36.0
120474,52520,5,Rejected,2021-07-02 06:54:56.0
120477,1520,1,Shipped,2021-07-02 06:56:37.0
120480,52520,5,Shipped,2021-07-02 06:58:38.0
120483,53096,8,Rejected,2021-07-02 06:58:43.0
120486,87168,2,Shipped,2021-07-02 06:59:17.0
120489,46944,8,Shipped,2021-07-02 07:03:16.0
120492,74960,4,Shipped,2021-07-02 07:06:36.0
120495,100764,2,Rejected,2021-07-02 07:07:50.0
120498,86692,9,Shipped,2021-07-02 07:10:12.0
120501,62468,1,Rejected,2021-07-02 07:12:04.0
120504,93540,1,Shipped,2021-07-02 07:12:07.0
120507,34748,5,Shipped,2021-07-02 07:13:50.0
120510,100820,1,Rejected,2021-07-02 07:19:23.0
120513,74628,5,Rejected,2021-07-02 07:20:29.0
120516,78788,3,Shipped,2021-07-02 07:23:11.0
120519,76804,9,Rejected,2021-07-02 07:23:30.0
120522,72332,2,Rejected,2021-07-02 07:24:46.0
120525,60804,2,Rejected,2021-07-02 07:25:11.0
120528,51016,9,Shipped,2021-07-02 07:30:15.0
120531,67212,2,Shipped,2021-07-02 07:53:51.0
120534,54824,8,Rejected,2021-07-02 07:57:57.0
120537,96808,4,Rejected,2021-07-02 08:07:24.0
120540,54824,8,Shipped,2021-07-02 08:11:22.0
120543,48564,1,Shipped,2021-07-02 08:11:54.0
120546,91152,1,Shipped,2021-07-02 08:13:52.0
120549,87948,9,Rejected,2021-07-02 08:24:55.0
120552,84052,4,Rejected,2021-07-02 08:28:19.0
120555,96808,4,Shipped,2021-07-02 08:30:16.0
120558,69052,2,Shipped,2021-07-02 08:32:39.0
120561,100880,1,Rejected,2021-07-02 08:36:37.0
120564,99988,2,Rejected,2021-07-02 08:38:20.0
120567,40988,1,Rejected,2021-07-02 08:39:15.0
120570,55796,5,Shipped,2021-07-02 08:44:41.0
120573,40988,1,Rejected,2021-07-02 08:45:04.0
120576,55796,5,Shipped,2021-07-02 08:48:04.0
120579,55796,5,Shipped,2021-07-02 08:48:55.0
120582,77776,3,Rejected,2021-07-02 08:51:02.0
120585,77776,3,Rejected,2021-07-02 08:51:46.0
120588,77776,3,Rejected,2021-07-02 08:52:56.0
120591,77776,3,Rejected,2021-07-02 08:55:37.0
120594,77776,3,Rejected,2021-07-02 08:58:12.0
120597,68188,5,Rejected,2021-07-02 09:01:05.0
120600,26228,1,Rejected,2021-07-02 09:01:53.0
120603,61772,5,Shipped,2021-07-02 09:30:58.0
120606,100900,5,Rejected,2021-07-02 09:31:35.0
120609,80428,1,Rejected,2021-07-02 09:34:56.0
120612,100848,2,Shipped,2021-07-02 09:37:21.0
120615,80428,1,Rejected,2021-07-02 09:39:22.0
120618,80428,1,Shipped,2021-07-02 09:40:01.0
120621,100632,3,Rejected,2021-07-02 09:47:03.0
120624,94044,9,Rejected,2021-07-02 09:48:05.0
120627,44400,9,Rejected,2021-07-02 09:48:23.0
120630,90924,3,Rejected,2021-07-02 09:50:23.0
120633,44400,9,Shipped,2021-07-02 09:55:15.0
120636,87948,9,Rejected,2021-07-02 09:56:03.0
120639,40988,1,Shipped,2021-07-02 09:57:59.0
120642,95600,5,Shipped,2021-07-02 10:02:50.0
120645,94044,9,Shipped,2021-07-02 10:07:36.0
120648,100920,1,Rejected,2021-07-02 10:15:25.0
120651,38228,1,Shipped,2021-07-02 10:21:35.0
120654,45816,8,Rejected,2021-07-02 10:24:43.0
120657,996,1,Shipped,2021-07-02 10:26:57.0
120660,58896,2,Rejected,2021-07-02 10:29:39.0
120663,100960,3,Rejected,2021-07-02 10:38:31.0
120666,39748,1,Rejected,2021-07-02 10:39:03.0
120669,84052,4,Shipped,2021-07-02 10:40:15.0
120672,71544,3,Rejected,2021-07-02 10:56:11.0
120675,65652,7,Shipped,2021-07-02 11:07:38.0
120678,65652,7,Rejected,2021-07-02 11:08:57.0
120681,41840,8,Rejected,2021-07-02 11:13:01.0
120684,70280,7,Rejected,2021-07-02 11:19:54.0
120687,50560,9,Rejected,2021-07-02 11:25:34.0
120690,96188,3,Rejected,2021-07-02 11:26:38.0
120693,23652,1,Rejected,2021-07-02 11:32:49.0
120696,35144,1,Rejected,2021-07-02 11:33:22.0
120699,35144,1,Shipped,2021-07-02 11:35:35.0
120702,38228,1,Shipped,2021-07-02 11:41:06.0
120705,42248,8,Rejected,2021-07-02 11:44:58.0
120708,58352,9,Rejected,2021-07-02 11:47:52.0
120711,35700,5,Shipped,2021-07-02 11:49:08.0
120714,43844,9,Rejected,2021-07-02 11:49:42.0
120717,41840,8,Rejected,2021-07-02 11:50:39.0
120720,43844,9,Rejected,2021-07-02 11:54:06.0
120723,79008,8,Rejected,2021-07-02 11:54:15.0
120726,79008,8,Rejected,2021-07-02 11:55:06.0
120729,20984,1,Rejected,2021-07-02 11:59:47.0
120732,20984,1,Rejected,2021-07-02 12:01:14.0
120735,101012,3,Rejected,2021-07-02 12:04:11.0
120738,20984,1,Shipped,2021-07-02 12:05:19.0
120741,79872,3,Shipped,2021-07-02 12:06:54.0
120744,28656,1,Shipped,2021-07-02 12:09:42.0
120747,24504,1,Shipped,2021-07-02 12:17:53.0
120750,1600,1,Rejected,2021-07-02 12:18:16.0
120753,57812,8,Rejected,2021-07-02 12:21:32.0
120756,26468,1,Shipped,2021-07-02 12:22:16.0
120759,32228,1,Rejected,2021-07-02 12:25:09.0
120762,52256,1,Shipped,2021-07-02 12:31:30.0
120765,81024,8,Rejected,2021-07-02 12:39:29.0
120768,96684,3,Rejected,2021-07-02 12:40:57.0
120771,48932,5,Shipped,2021-07-02 12:44:56.0
120774,44324,1,Rejected,2021-07-02 12:59:10.0
120777,73268,2,Rejected,2021-07-02 13:00:18.0
120780,86416,7,Shipped,2021-07-02 13:00:28.0
120783,86416,7,Shipped,2021-07-02 13:00:51.0
120786,86416,7,Rejected,2021-07-02 13:01:48.0
120789,24504,1,Rejected,2021-07-02 13:03:32.0
120792,100632,3,Rejected,2021-07-02 13:08:45.0
120795,41728,8,Rejected,2021-07-02 13:18:03.0
120798,100632,3,Shipped,2021-07-02 13:18:28.0
120801,101048,3,Rejected,2021-07-02 13:24:18.0
120804,93796,7,Shipped,2021-07-02 13:33:34.0
120807,60592,2,Shipped,2021-07-02 13:38:37.0
120810,87136,8,Rejected,2021-07-02 13:42:11.0
120813,67880,3,Rejected,2021-07-02 13:49:23.0
120816,53524,5,Shipped,2021-07-02 13:54:45.0
120819,81268,4,Shipped,2021-07-02 13:55:31.0
120822,97116,9,Rejected,2021-07-02 14:47:47.0
120825,40616,1,Rejected,2021-07-02 15:38:15.0
120828,44260,8,Shipped,2021-07-02 15:38:17.0
120831,101100,9,Rejected,2021-07-02 15:41:45.0
120834,58040,8,Rejected,2021-07-02 15:52:13.0
120837,94828,9,Rejected,2021-07-02 15:54:32.0
120840,101100,9,Rejected,2021-07-02 15:55:26.0
120843,94828,9,Shipped,2021-07-02 15:56:08.0
120846,57196,8,Shipped,2021-07-02 15:56:36.0
120849,98504,9,Rejected,2021-07-02 16:03:19.0
120852,98504,9,Rejected,2021-07-02 16:10:28.0
120855,55284,8,Rejected,2021-07-02 16:12:34.0
120858,56168,8,Rejected,2021-07-02 16:17:42.0
120861,101120,1,Rejected,2021-07-02 16:20:18.0
120864,71800,1,Rejected,2021-07-02 16:23:46.0
120867,64324,2,Rejected,2021-07-02 16:31:36.0
120870,32092,1,Rejected,2021-07-02 16:50:05.0
120873,72212,1,Rejected,2021-07-02 18:10:12.0
120876,72212,1,Shipped,2021-07-02 18:11:34.0
120879,56364,9,Rejected,2021-07-02 20:59:28.0
120882,100924,2,Rejected,2021-07-03 01:00:11.0
120885,100924,2,Rejected,2021-07-03 01:03:39.0
120888,100924,2,Rejected,2021-07-03 01:06:43.0
120891,96188,3,Rejected,2021-07-03 01:56:47.0
120894,61460,8,Rejected,2021-07-03 03:14:50.0
120897,61460,8,Rejected,2021-07-03 03:15:36.0
120900,61460,8,Rejected,2021-07-03 03:16:32.0
120903,61460,8,Rejected,2021-07-03 03:17:31.0
120906,42248,8,Rejected,2021-07-03 03:19:37.0
120909,101208,2,Rejected,2021-07-03 03:20:19.0
120912,98304,1,Rejected,2021-07-03 03:27:12.0
120915,27204,1,Shipped,2021-07-03 03:39:15.0
120918,53368,9,Rejected,2021-07-03 03:39:31.0
120921,96112,9,Rejected,2021-07-03 03:47:45.0
120924,35268,1,Rejected,2021-07-03 04:22:09.0
120927,35268,1,Rejected,2021-07-03 04:24:11.0
120930,92100,9,Rejected,2021-07-03 04:30:42.0
120933,61460,8,Rejected,2021-07-03 04:39:15.0
120936,61556,2,Rejected,2021-07-03 04:46:22.0
120939,61384,9,Shipped,2021-07-03 04:50:38.0
120942,52360,9,Rejected,2021-07-03 04:58:03.0
120945,101228,1,Rejected,2021-07-03 04:59:59.0
120948,49832,9,Shipped,2021-07-03 05:15:37.0
120951,30776,5,Shipped,2021-07-03 05:18:46.0
120954,51596,9,Rejected,2021-07-03 05:22:44.0
120957,87136,8,Shipped,2021-07-03 05:28:55.0
120960,51596,9,Rejected,2021-07-03 05:29:16.0
120963,100708,8,Rejected,2021-07-03 05:31:32.0
120966,38368,1,Rejected,2021-07-03 05:36:16.0
120969,39936,1,Shipped,2021-07-03 05:50:11.0
120972,57612,8,Rejected,2021-07-03 05:50:13.0
120975,101100,9,Rejected,2021-07-03 05:53:04.0
120978,61556,2,Shipped,2021-07-03 05:56:49.0
120981,59884,8,Rejected,2021-07-03 06:05:31.0
120984,84000,9,Rejected,2021-07-03 06:05:52.0
120987,99332,9,Shipped,2021-07-03 06:06:39.0
120990,84000,9,Shipped,2021-07-03 06:09:14.0
120993,101292,5,Rejected,2021-07-03 06:14:29.0
120996,63220,8,Shipped,2021-07-03 06:16:08.0
120999,97116,9,Rejected,2021-07-03 06:27:26.0
121002,101300,3,Rejected,2021-07-03 06:29:07.0
121005,97116,9,Rejected,2021-07-03 06:37:09.0
121008,71544,3,Shipped,2021-07-03 06:37:46.0
121011,101308,9,Rejected,2021-07-03 06:45:44.0
121014,1600,1,Rejected,2021-07-03 06:51:41.0
121017,101324,3,Rejected,2021-07-03 06:57:28.0
121020,1600,1,Shipped,2021-07-03 07:00:09.0
121023,59408,8,Rejected,2021-07-03 07:01:50.0
121026,48308,5,Shipped,2021-07-03 07:05:38.0
121029,23016,1,Rejected,2021-07-03 07:07:54.0
121032,23016,1,Shipped,2021-07-03 07:09:55.0
121035,33960,1,Shipped,2021-07-03 07:09:59.0
121038,98156,2,Rejected,2021-07-03 07:11:59.0
121041,97116,9,Rejected,2021-07-03 07:15:15.0
121044,100808,3,Rejected,2021-07-03 07:20:27.0
121047,79536,2,Rejected,2021-07-03 07:33:43.0
121050,41988,8,Rejected,2021-07-03 07:33:47.0
121053,101100,9,Rejected,2021-07-03 07:34:05.0
121056,79536,2,Rejected,2021-07-03 07:35:06.0
121059,90308,1,Shipped,2021-07-03 07:37:53.0
121062,101372,2,Rejected,2021-07-03 07:40:52.0
121065,22048,1,Rejected,2021-07-03 07:49:25.0
121068,66032,2,Shipped,2021-07-03 07:49:59.0
121071,84044,8,Shipped,2021-07-03 07:53:34.0
121074,79536,2,Rejected,2021-07-03 07:56:03.0
121077,98008,1,Rejected,2021-07-03 07:57:11.0
121080,23328,1,Rejected,2021-07-03 08:08:20.0
121083,91360,3,Rejected,2021-07-03 08:11:21.0
121086,96880,3,Rejected,2021-07-03 08:13:50.0
121089,53096,8,Rejected,2021-07-03 08:17:57.0
121092,48980,5,Rejected,2021-07-03 08:19:09.0
121095,20664,1,Rejected,2021-07-03 08:32:03.0
121098,38368,1,Rejected,2021-07-03 08:33:01.0
121101,22536,1,Shipped,2021-07-03 08:37:33.0
121104,48980,5,Rejected,2021-07-03 08:38:10.0
121107,21184,1,Shipped,2021-07-03 08:44:44.0
121110,31112,1,Shipped,2021-07-03 08:48:39.0
121113,53096,8,Shipped,2021-07-03 08:53:13.0
121116,48980,5,Rejected,2021-07-03 08:55:53.0
121119,57612,8,Rejected,2021-07-03 08:56:06.0
121122,57612,8,Rejected,2021-07-03 08:58:10.0
121125,69976,2,Rejected,2021-07-03 08:59:07.0
121128,78348,2,Shipped,2021-07-03 09:00:58.0
121131,93876,9,Rejected,2021-07-03 09:09:02.0
121134,86884,5,Rejected,2021-07-03 09:16:46.0
121137,81036,5,Shipped,2021-07-03 09:19:13.0
121140,100708,8,Rejected,2021-07-03 09:25:24.0
121143,21300,1,Rejected,2021-07-03 09:39:59.0
121146,94340,8,Shipped,2021-07-03 09:53:48.0
121149,33656,1,Rejected,2021-07-03 09:56:32.0
121152,101476,5,Rejected,2021-07-03 09:59:27.0
121155,81036,5,Shipped,2021-07-03 10:01:23.0
121158,33656,1,Shipped,2021-07-03 10:02:11.0
121161,101100,9,Shipped,2021-07-03 10:12:59.0
121164,44684,8,Rejected,2021-07-03 10:21:00.0
121167,28560,5,Shipped,2021-07-03 10:22:34.0
121170,44684,8,Rejected,2021-07-03 10:22:57.0
121173,52128,9,Rejected,2021-07-03 10:25:03.0
121176,91332,2,Shipped,2021-07-03 10:31:06.0
121179,101264,3,Rejected,2021-07-03 10:35:14.0
121182,64236,9,Rejected,2021-07-03 10:41:03.0
121185,99416,3,Shipped,2021-07-03 10:44:52.0
121188,20868,1,Rejected,2021-07-03 10:47:37.0
121191,101508,1,Rejected,2021-07-03 10:52:29.0
121194,94548,9,Rejected,2021-07-03 10:59:20.0
121197,1640,1,Shipped,2021-07-03 10:59:40.0
121200,100696,9,Shipped,2021-07-03 11:08:59.0
121203,68484,7,Shipped,2021-07-03 11:09:31.0
121206,101536,1,Rejected,2021-07-03 11:24:42.0
121209,100480,2,Rejected,2021-07-03 11:25:22.0
121212,68484,7,Rejected,2021-07-03 11:27:18.0
121215,73720,7,Shipped,2021-07-03 11:35:32.0
121218,68124,2,Rejected,2021-07-03 11:41:49.0
121221,68124,2,Rejected,2021-07-03 11:43:32.0
121224,38144,8,Shipped,2021-07-03 11:44:11.0
121227,68124,2,Rejected,2021-07-03 11:45:33.0
121230,101524,5,Rejected,2021-07-03 11:47:38.0
121233,57612,8,Shipped,2021-07-03 11:59:23.0
121236,68876,3,Rejected,2021-07-03 12:01:24.0
121239,28240,1,Rejected,2021-07-03 12:01:37.0
121242,87100,7,Shipped,2021-07-03 12:09:15.0
121245,61772,5,Shipped,2021-07-03 12:09:59.0
121248,68124,2,Rejected,2021-07-03 12:10:34.0
121251,1600,1,Shipped,2021-07-03 12:13:27.0
121254,68124,2,Rejected,2021-07-03 12:14:13.0
121257,68124,2,Rejected,2021-07-03 12:14:18.0
121260,68124,2,Shipped,2021-07-03 12:20:07.0
121263,68876,3,Rejected,2021-07-03 12:21:23.0
121266,44400,9,Rejected,2021-07-03 12:21:38.0
121269,101536,1,Shipped,2021-07-03 12:21:40.0
121272,55068,1,Rejected,2021-07-03 12:26:38.0
121275,101556,5,Rejected,2021-07-03 12:30:31.0
121278,47844,1,Shipped,2021-07-03 12:33:27.0
121281,1208,1,Rejected,2021-07-03 12:36:58.0
121284,1208,1,Rejected,2021-07-03 12:39:28.0
121287,97216,2,Rejected,2021-07-03 12:51:14.0
121290,101236,1,Rejected,2021-07-03 12:53:59.0
121293,32348,1,Rejected,2021-07-03 13:01:43.0
121296,1208,1,Shipped,2021-07-03 13:03:46.0
121299,32348,1,Shipped,2021-07-03 13:04:16.0
121302,100924,2,Shipped,2021-07-03 13:05:20.0
121305,47256,8,Shipped,2021-07-03 13:24:08.0
121308,91916,3,Rejected,2021-07-03 13:34:03.0
121311,91916,3,Rejected,2021-07-03 13:34:54.0
121314,90444,3,Rejected,2021-07-03 14:31:27.0
121317,100408,3,Rejected,2021-07-03 14:37:05.0
121320,90444,3,Rejected,2021-07-03 14:52:56.0
121323,84340,8,Rejected,2021-07-03 15:29:12.0
121326,84340,8,Rejected,2021-07-03 15:33:47.0
121329,48096,8,Rejected,2021-07-03 15:46:43.0
121332,48096,8,Rejected,2021-07-03 15:50:11.0
121335,82356,2,Shipped,2021-07-03 15:51:00.0
121338,74704,1,Rejected,2021-07-03 15:53:20.0
121341,101560,4,Shipped,2021-07-03 16:11:50.0
121344,83404,9,Shipped,2021-07-03 16:14:33.0
121347,72212,1,Rejected,2021-07-03 16:16:54.0
121350,97572,8,Rejected,2021-07-03 16:30:40.0
121353,82280,8,Shipped,2021-07-03 16:40:39.0
121356,64324,2,Shipped,2021-07-03 16:48:49.0
121359,91576,5,Rejected,2021-07-03 16:52:34.0
121362,35568,1,Rejected,2021-07-03 17:34:33.0
