order_item_id,fk_product_id,fk_order_id,ordered_quantity,order_quantity_accepted,rate
62708,1548,120060,1,0,10509
62709,1548,120060,2,0,10763
62710,1548,120060,2,0,5551
62711,8439,120063,1,0,892
62712,9796,120066,6,0,2656.8
62713,7504,120069,2,2,4025.43
62714,7607,120072,2,0,6203.4
62715,10975,120075,2,2,19029
62716,11907,120078,3,3,3932.25
62717,12688,120081,1,0,1023.81
62718,12688,120084,2,0,1023.81
62719,11125,120087,4,4,1892
62720,8428,120087,10,10,1540
62721,10975,120090,1,0,11254.5
62722,9916,120093,3,3,2722.88
62723,7243,120096,1,0,3179.91
62724,7774,120099,5,0,2947
62725,7243,120102,1,0,3179.91
62726,10235,120105,9,9,1324.5
62727,12407,120108,1,1,11271
62728,7775,120111,3,0,6144
62729,7774,120114,5,0,2947
62730,11907,120117,3,0,3932.25
62731,11907,120120,3,0,3932.25
62732,9916,120123,1,1,2722.88
62733,11907,120126,3,0,3932.25
62734,11907,120129,3,0,3932.25
62735,11147,120132,1,0,1365
62736,3284,120135,1,1,3306
62737,11147,120135,1,1,1365
62738,11907,120138,3,0,3932.25
62739,8455,120141,5,0,2665
62740,7607,120144,1,0,6408
62741,8425,120147,3,3,3522.2
62742,10236,120147,1,1,1380
62743,10236,120147,2,2,1293
62744,11169,120150,2,0,5145
62745,2862,120153,2,2,4200
62746,8219,120156,85,85,13288.2
62747,8219,120156,5,5,13488.3
62748,8219,120156,10,10,13597
62749,7640,120159,10,10,12883.8
62750,1548,120162,5,0,10509
62751,3610,120165,1,0,12364
62752,3610,120165,2,0,8085
62753,1041,120168,1,0,4693.47
62754,8425,120171,2,0,4007
62755,3610,120174,5,0,12364
62756,8425,120177,2,0,4007
62757,11106,120177,3,0,4116
62758,1041,120180,1,0,4972.44
62759,12652,120183,1,1,7203.4
62760,8664,120186,5,0,2288.2
62761,2862,120189,1,0,4200
62762,8425,120192,1,0,4007
62763,11106,120192,2,0,4116
62764,1038,120195,2,2,6988
62765,1038,120195,2,2,6854
62766,3610,120198,2,0,12364
62767,7607,120201,5,0,6203.4
62768,11907,120204,1,1,3932.25
62769,9915,120207,1,1,2579.8
62770,9915,120207,1,1,3043.22
62771,3284,120210,3,0,3306
62772,9915,120213,1,0,3183
62773,8425,120216,2,0,3522.2
62774,8425,120216,1,0,3619.5
62775,8147,120219,2,2,7360
62776,9925,120222,2,2,5577
62777,8425,120225,2,2,3522.2
62778,8425,120225,1,1,3619.5
62779,1039,120228,10,0,2478
62780,8664,120231,5,0,2288.2
62781,8664,120234,5,0,2288.2
62782,8464,120237,1,0,28423
62783,8438,120240,1,0,3324
62784,11146,120243,1,0,3868
62785,10531,120246,1,0,2203.5
62786,8116,120249,1,1,6466
62787,8221,120249,2,1,2779.67
62788,8326,120249,1,0,3470.33
62789,3284,120252,2,2,3306
62790,3603,120252,1,1,5629
62791,12713,120255,1,1,2400
62792,8210,120258,1,0,12758
62793,7666,120261,1,0,10678
62794,7666,120261,1,0,10933
62795,7666,120261,1,0,5170
62796,1043,120264,1,1,5319.99
62797,12710,120267,5,0,9600
62798,8760,120270,1,0,2335
62799,8425,120273,50,0,3522.2
62800,9796,120276,5,0,2656.8
62801,8422,120279,2,0,5006
62802,8422,120282,2,0,5006
62803,9916,120285,5,0,2269.07
62804,8425,120288,1,1,4007
62805,8425,120288,1,1,4106
62806,11163,120291,1,0,3355
62807,7767,120294,1,0,735
62808,8221,120297,1,0,2726.15
62809,12676,120300,8,0,21315
62810,11155,120303,1,0,6725
62811,10235,120306,1,0,1368.99
62812,2105,120309,10,0,89.78
62813,3615,120312,1,0,3929.27
62814,3615,120315,1,0,4094.45
62815,9916,120318,1,0,2904.41
62816,8452,120318,1,0,6702
62817,11169,120318,1,0,5145
62818,11658,120321,1,0,1365
62819,10207,120324,1,0,4612
62820,1046,120327,5,0,4832
62821,1046,120327,5,0,2303
62822,8462,120330,1,0,7304
62823,8462,120330,1,0,7403
62824,1805,120333,1,0,18969
62825,1041,120336,1,0,4455
62826,1041,120336,1,0,4272
62827,3615,120339,2,0,4163
62828,3615,120339,1,0,4209
62829,8214,120342,1,0,3703.81
62830,8214,120342,1,0,3772.88
62831,8425,120345,1,0,3468
62832,8221,120348,1,0,2726.15
62833,8664,120351,5,0,2288.2
62834,9796,120351,5,0,2656.8
62835,10236,120354,2,0,1302.25
62836,11899,120357,1,0,11410
62837,8425,120360,1,0,3374
62838,8425,120360,1,0,3468
62839,8422,120363,2,0,5006
62840,8782,120366,1,0,3703
62841,8390,120369,1,0,1563
62842,12404,120372,1,0,4115.82
62843,12749,120375,5,3,4027.25
62844,10235,120378,1,0,1368.99
62845,11123,120378,1,0,6142
62846,11124,120378,1,0,886
62847,11138,120378,1,0,6496
62848,1043,120381,6,0,20704
62849,1043,120384,6,0,20704
62850,1043,120387,6,0,20704
62851,1041,120390,5,0,4532
62852,11107,120393,1,0,3112.09
62853,11123,120396,1,0,4005
62854,10235,120399,1,1,1368.99
62855,11123,120399,1,1,4005
62856,11123,120399,1,1,6142
62857,11124,120399,1,1,886
62858,11138,120399,1,1,6496
62859,11189,120402,2,0,4998
62860,12702,120402,2,0,2200.85
62861,11899,120405,1,0,11410
62862,1038,120408,1,0,6854.56
62863,8712,120411,5,0,5456
62864,11125,120414,5,5,1892
62865,3279,120417,1,0,5461
62866,12702,120420,1,1,2200.85
62867,3603,120423,2,2,5629
62868,11146,120426,1,1,3833
62869,11146,120426,1,1,4358
62870,11905,120426,1,1,4404.66
62871,7528,120429,1,0,7767.8
62872,8422,120429,1,0,6753
62873,8422,120429,1,0,5725
62874,8424,120429,1,0,8127
62875,8424,120429,1,0,7791
62876,8424,120429,1,0,7239
62877,8444,120429,1,0,5648
62878,8444,120429,1,0,5872
62879,8444,120429,1,0,5741
62880,8457,120429,1,0,15242
62881,8457,120429,1,0,16130
62882,8457,120429,1,0,15834
62883,8457,120429,1,0,15538
62884,8210,120432,2,0,12758
62885,8425,120435,8,0,3522.2
62886,11154,120438,1,0,10500
62887,3615,120441,5,5,4328
62888,12407,120444,1,1,11271
62889,8428,120447,4,0,724
62890,7243,120450,1,0,3165
62891,1041,120453,1,1,4240.14
62892,11156,120456,5,5,4474
62893,11156,120456,5,5,3897
62894,2282,120459,6,0,4000
62895,3611,120462,1,0,3149.44
62896,1548,120465,1,0,10509
62897,1548,120465,1,0,10763
62898,1548,120465,2,0,5551
62899,3279,120468,2,0,5264
62900,2282,120471,1,0,4000
62901,2282,120474,1,0,4000
62902,2282,120477,6,6,3960
62903,2282,120480,1,1,4000
62904,10235,120483,2,0,1368.99
62905,10235,120483,2,0,1324.5
62906,3603,120486,2,2,5629
62907,8449,120489,1,0,6414
62908,8425,120489,2,0,3561
62909,8425,120489,2,2,3468
62910,1039,120492,2,2,2280
62911,8210,120495,1,0,12527
62912,8210,120495,1,0,12758
62913,8210,120495,1,0,6762
62914,11154,120498,1,1,9870
62915,11172,120498,1,1,2684
62916,11899,120498,1,0,11410
62917,7754,120501,1,0,1325
62918,2862,120504,1,0,4200
62919,12677,120504,2,2,2142.86
62920,12679,120504,1,1,2380.95
62921,12681,120504,1,1,3452.38
62922,12688,120504,1,1,1023.81
62923,1548,120507,4,4,10509
62924,1548,120507,1,1,10763
62925,2853,120510,1,0,605
62926,7541,120513,1,0,1624
62927,7872,120513,1,0,2003
62928,7872,120513,1,0,1214
62929,11124,120513,1,0,682
62930,11124,120513,1,0,730
62931,11107,120516,2,2,3112.09
62932,8438,120519,4,0,3324
62933,11907,120522,2,0,4264
62934,8428,120525,2,0,802
62935,11189,120528,1,1,4998
62936,3279,120531,2,2,5461
62937,11105,120534,2,0,23015
62938,8210,120537,1,0,13615
62939,10235,120540,6,6,1368.99
62940,10235,120540,3,0,1324.5
62941,1548,120543,1,1,10763
62942,12652,120546,2,2,7203.4
62943,8622,120549,1,0,30450
62944,10204,120552,1,0,3055
62945,8210,120555,2,2,13615
62946,3279,120558,1,1,5461
62947,1038,120561,1,0,6985.33
62948,11104,120564,1,0,11277
62949,7640,120567,10,0,14617
62950,7640,120567,13,0,12883.8
62951,7541,120570,1,0,1624
62952,7869,120570,2,0,3381
62953,7869,120570,2,0,3540
62954,8335,120570,3,2,2597
62955,11106,120570,2,1,4183
62956,11106,120570,2,2,3612
62957,11106,120570,1,0,3822
62958,11136,120570,2,0,2546
62959,8210,120570,1,1,6592
62960,7640,120573,13,0,14617
62961,7640,120573,20,0,12883.8
62962,2367,120576,10,10,450
62963,2862,120579,1,1,4200
62964,11117,120582,1,0,3528
62965,11117,120582,1,0,3119
62966,7271,120585,1,0,2371
62967,11136,120588,1,0,2498
62968,1041,120591,1,0,5738
62969,8425,120594,1,0,4106
62970,8219,120597,3,0,13288.2
62971,8299,120600,1,0,3183
62972,12744,120603,20,20,530
62973,3610,120606,10,0,12364
62974,7504,120609,1,0,4025.43
62975,1039,120612,5,5,2236
62976,7504,120615,1,0,4025.43
62977,7504,120618,1,1,4025.43
62978,8444,120621,1,0,6156
62979,8425,120624,18,0,3522.2
62980,9916,120627,5,0,2722.88
62981,11110,120630,1,0,2552
62982,10235,120633,2,2,1350
62983,9916,120633,5,5,2722.88
62984,8623,120636,1,0,23136.6
62985,7640,120639,1,0,14617
62986,7640,120639,23,23,12883.8
62987,11125,120642,20,20,2030
62988,8425,120645,15,15,3522.2
62989,7921,120648,1,0,1056.8
62990,3234,120651,4,3,10700
62991,10224,120654,1,0,4105.22
62992,10224,120654,1,0,4283.19
62993,10224,120654,1,0,4461.15
62994,11156,120657,3,3,4096
62995,9925,120660,2,0,3096.61
62996,11125,120663,2,0,1892
62997,1548,120666,1,0,10509
62998,10204,120669,1,0,3055
62999,10204,120669,3,3,3479
63000,11107,120672,4,0,3112.09
63001,8425,120675,1,1,4007
63002,10209,120678,1,0,2754.24
63003,8452,120681,1,0,6702
63004,11111,120681,1,0,27710
63005,11169,120681,1,0,2741
63006,7607,120684,1,0,6408
63007,10553,120687,5,0,4372
63008,8751,120690,1,0,4130
63009,7526,120693,1,0,5932.2
63010,8325,120696,2,0,10900.4
63011,8326,120699,2,2,3470.33
63012,3234,120702,4,4,1337.5
63013,8441,120705,1,0,2882
63014,8441,120705,1,0,3001
63015,8438,120708,1,0,3393
63016,8438,120708,1,0,3629
63017,8438,120708,1,0,3324
63018,8438,120708,1,0,3511
63019,10235,120708,1,0,1350
63020,8428,120708,1,0,1635
63021,8219,120711,40,40,13288.2
63022,8219,120711,10,10,13488.3
63023,10235,120714,5,0,1350
63024,8452,120717,1,0,6702
63025,11111,120717,1,0,27710
63026,10235,120720,5,0,1350
63027,8664,120723,5,0,2288.2
63028,8664,120726,5,0,2288.2
63029,12700,120729,3,0,6940.7
63030,7640,120732,3,0,12883.8
63031,3276,120735,1,0,2961
63032,7640,120738,4,4,12883.8
63033,8428,120741,10,10,1540
63034,12652,120744,20,20,7203.4
63035,8335,120747,2,2,2597
63036,1548,120750,1,0,10509
63037,1548,120750,1,0,10763
63038,1548,120750,1,0,5090
63039,11899,120753,6,0,11857
63040,12691,120756,2,2,1023.81
63041,2862,120759,1,0,4200
63042,7804,120762,1,1,2531
63043,7872,120762,2,2,2003
63044,7896,120762,1,1,4166
63045,8210,120765,1,0,13584.9
63046,3269,120765,1,0,10062
63047,8435,120765,1,0,11971
63048,8435,120765,1,0,11626
63049,10236,120765,1,0,1302.25
63050,10236,120765,1,0,1257.76
63051,10529,120765,1,0,14065
63052,11136,120765,1,0,2559
63053,11139,120765,1,0,4284
63054,11139,120765,2,0,3995.73
63055,11187,120765,1,0,6121
63056,11731,120765,1,0,4947.59
63057,8425,120768,2,0,4007
63058,8325,120771,2,2,10900.4
63059,8325,120771,2,2,12235.2
63060,8325,120771,2,2,14014.8
63061,8325,120771,2,1,15349.6
63062,2282,120774,1,0,4000
63063,11156,120777,1,0,3896
63064,1043,120780,3,3,41408
63065,1041,120783,5,5,4532
63066,1041,120786,5,0,4532
63067,8335,120789,1,0,2597
63068,7271,120792,1,0,2371
63069,12749,120795,2,0,4027.25
63070,7271,120798,1,1,2371
63071,8444,120798,1,1,6156
63072,8444,120801,1,0,3166.8
63073,1043,120804,1,1,21728
63074,11147,120807,2,2,1365
63075,11147,120807,3,3,1444
63076,11146,120810,1,0,3674.88
63077,11146,120810,1,0,4367
63078,3279,120813,2,0,5044
63079,3620,120813,1,0,5536
63080,1805,120816,3,3,18732.9
63081,1038,120819,1,1,6854
63082,8428,120822,2,0,1635
63083,3269,120825,1,0,9010
63084,10975,120828,1,1,18687.5
63085,11899,120831,3,0,11410
63086,8420,120834,1,0,6460
63087,10235,120837,2,0,1350
63088,10235,120837,2,0,1325
63089,11899,120840,3,0,11410
63090,10235,120843,2,2,1350
63091,10235,120843,2,2,1325
63092,10235,120846,4,4,1368.99
63093,10235,120846,2,2,1324.5
63094,8428,120849,2,0,1635
63095,10235,120852,4,0,1350
63096,9796,120855,1,0,2656.8
63097,7586,120858,3,0,10027.1
63098,1041,120861,1,0,4693.47
63099,1040,120864,1,0,6673.98
63100,3615,120867,1,0,4328
63101,8428,120867,3,0,798
63102,8482,120870,1,0,5218
63103,2282,120873,80,0,4000
63104,2282,120876,4,4,4000
63105,11264,120879,1,0,3160
63106,11161,120882,1,0,6783
63107,11104,120885,1,0,11225
63108,8362,120888,1,0,3037
63109,11140,120891,1,0,4331
63110,8664,120894,1,0,2288.2
63111,11143,120897,1,0,3266
63112,12762,120900,2,0,798.02
63113,12749,120903,1,0,4027.25
63114,10404,120906,1,0,7203
63115,2862,120909,1,0,4200
63116,7538,120912,1,0,4328
63117,8807,120912,1,0,6023
63118,11106,120912,1,0,4183
63119,11160,120912,1,0,6357
63120,11172,120912,1,0,2709
63121,1040,120915,100,100,3435
63122,1038,120915,10,0,7246.87
63123,8425,120918,2,0,3522.2
63124,8425,120918,1,0,3619.5
63125,10975,120921,1,0,8453.39
63126,8221,120924,2,0,2726.15
63127,8219,120927,1,0,13488.3
63128,8425,120930,1,0,3522.2
63129,8425,120930,2,0,3619.5
63130,12806,120930,1,0,25423.7
63131,8664,120933,1,0,2288.2
63132,11143,120933,1,0,3266
63133,12749,120933,1,0,4027.25
63134,12762,120933,2,0,798.02
63135,3284,120936,4,0,3250
63136,3284,120936,2,0,3437
63137,3284,120936,4,0,3306
63138,10227,120939,5,5,1369.92
63139,10235,120942,2,0,1350
63140,10235,120942,2,0,1325
63141,7767,120945,1,0,735
63142,10235,120948,10,10,1325
63143,7806,120951,1,1,3116
63144,11907,120951,1,1,3932.25
63145,10235,120954,2,0,1350
63146,10236,120957,1,1,1302.25
63147,11146,120957,1,1,3674.88
63148,11146,120957,1,1,4367
63149,8428,120957,1,0,1587
63150,11118,120960,1,0,2797
63151,11118,120960,1,0,2541
63152,12702,120963,5,0,2200.85
63153,3603,120966,1,0,5738
63154,7776,120969,2,2,2215
63155,3615,120972,5,0,4353
63156,11899,120975,1,0,11410
63157,3279,120978,2,2,5461
63158,3284,120978,8,8,3306
63159,8443,120981,1,0,6134
63160,8443,120981,1,0,5750
63161,8444,120981,1,0,6255
63162,8444,120981,1,0,5872
63163,8425,120984,3,0,3522.2
63164,8425,120987,4,4,3522.2
63165,8425,120987,1,1,3619.5
63166,8425,120990,2,2,3522.2
63167,3610,120993,10,0,12364
63168,8219,120993,5,0,13288.2
63169,8444,120993,3,0,5719
63170,8444,120993,3,0,5946
63171,8425,120996,3,3,3374
63172,8425,120996,1,1,3468
63173,7575,120999,1,0,5745.25
63174,8422,120999,1,0,2942
63175,8438,120999,1,0,3629
63176,10235,120999,1,0,1350
63177,10235,120999,1,0,1325
63178,11731,120999,1,0,4402
63179,8428,120999,2,0,1635
63180,8444,121002,1,0,6156
63181,8444,121002,1,0,3166.8
63182,7575,121005,1,0,5745.25
63183,8438,121005,1,0,3629
63184,10235,121005,1,0,1350
63185,10235,121005,1,0,1325
63186,11731,121005,1,0,4402
63187,8428,121005,2,0,1635
63188,11107,121008,4,4,3112.09
63189,8751,121008,1,1,3147
63190,11155,121011,1,0,14629
63191,8210,121014,10,0,12205.5
63192,9919,121017,1,0,4078.98
63193,8210,121020,3,3,12205.5
63194,7586,121023,1,0,10027.1
63195,1548,121026,1,1,10509
63196,1548,121026,1,1,10763
63197,1548,121026,2,2,5551
63198,12652,121029,2,0,7203.4
63199,12652,121032,2,2,7203.4
63200,12652,121035,4,4,7203.4
63201,9915,121038,1,0,3043.22
63202,7575,121041,1,0,5745.25
63203,8422,121041,1,0,2942
63204,8438,121041,1,0,3629
63205,10235,121041,1,0,1350
63206,10235,121041,1,0,1325
63207,11731,121041,1,0,4402
63208,8428,121041,2,0,1635
63209,12423,121044,1,0,1979.33
63210,8210,121047,1,0,6762
63211,10236,121050,1,0,1302.25
63212,10236,121050,7,0,1257.76
63213,11899,121053,3,0,11410
63214,11146,121056,1,0,3833
63215,8219,121059,10,10,13288.2
63216,1039,121062,1,0,2236
63217,7640,121065,3,0,12883.8
63218,3610,121068,1,1,7931
63219,10235,121071,4,4,1368.99
63220,10235,121071,5,5,1324.5
63221,8365,121074,1,0,4932.6
63222,12407,121077,1,0,11271
63223,10975,121080,3,0,11254.5
63224,10975,121080,1,0,11796.6
63225,8444,121083,1,0,6156
63226,11125,121086,2,0,1892
63227,10235,121089,2,0,1368.99
63228,10235,121089,1,0,1324.5
63229,3610,121092,20,0,12364
63230,8219,121092,3,0,13288.2
63231,1548,121095,1,0,10763
63232,1548,121095,1,0,5550.9
63233,3603,121098,1,0,5738
63234,8221,121098,1,0,2779.67
63235,8326,121098,1,0,3470.33
63236,7666,121101,1,1,10678
63237,7666,121101,1,1,10933
63238,7772,121101,1,0,3578
63239,8444,121101,1,1,5719
63240,8444,121101,1,1,5814
63241,10975,121104,1,0,21225
63242,10975,121104,1,0,12779.7
63243,10975,121104,1,0,11796.6
63244,12713,121107,1,1,2400
63245,1040,121110,1,1,3570.85
63246,10235,121113,2,2,1368.99
63247,10235,121113,2,2,1324.5
63248,10975,121116,1,0,21225
63249,10975,121116,1,0,12779.7
63250,10975,121116,1,0,11796.6
63251,3615,121119,5,0,4017
63252,3615,121122,5,0,4353
63253,1040,121125,1,0,3775.6
63254,9915,121128,2,2,3043.22
63255,10235,121131,4,0,1350
63256,10235,121131,4,0,1325
63257,10236,121131,2,0,1380
63258,10236,121131,4,0,1293
63259,7547,121134,1,0,6442
63260,7539,121137,12,12,2964
63261,12699,121140,4,0,3170
63262,11143,121143,1,0,2845
63263,11143,121143,1,0,2507
63264,11899,121146,1,1,11857
63265,11907,121149,80,0,3932.25
63266,3610,121152,3,0,12364
63267,10204,121155,1,1,3074
63268,10204,121155,2,2,3500
63269,11907,121158,1,1,3932.25
63270,11899,121161,3,3,11410
63271,8424,121164,1,0,8127
63272,10975,121167,1,1,21225
63273,8443,121170,1,0,5526
63274,8443,121170,1,0,5750
63275,8443,121170,1,0,5620
63276,8438,121173,1,0,3393
63277,3603,121176,2,2,5629
63278,3279,121179,1,0,5300
63279,10235,121182,2,0,1350
63280,10235,121182,1,0,1325
63281,11107,121185,1,1,3112.09
63282,7666,121188,6,0,10678
63283,8444,121191,1,0,5719
63284,8444,121191,1,0,5946
63285,8444,121191,1,0,5814
63286,11899,121194,1,0,11410
63287,2282,121197,10,9,4000
63288,11899,121200,1,1,11410
63289,12453,121203,1,1,3305
63290,12677,121206,3,0,2142.86
63291,1041,121209,1,0,4725
63292,1041,121209,1,0,4455
63293,11143,121209,1,0,2822
63294,11143,121209,1,0,2489
63295,11143,121209,1,0,2699
63296,7607,121212,1,0,6408
63297,12757,121215,3,3,3203.39
63298,3603,121218,3,0,5629
63299,3284,121221,3,0,3306
63300,12701,121224,1,1,5317.97
63301,3610,121227,1,0,12674
63302,3610,121230,1,0,12364
63303,10975,121230,1,0,21225
63304,3615,121233,5,5,4017
63305,1041,121236,2,0,5429
63306,1041,121236,2,0,5738
63307,8424,121239,1,0,8170
63308,1041,121242,1,0,4719
63309,1041,121242,4,4,4532
63310,8444,121245,1,1,5719
63311,8444,121245,1,1,5814
63312,8444,121245,2,2,3166.8
63313,3284,121248,2,0,3306
63314,3603,121248,3,0,5629
63315,1548,121251,2,2,10509
63316,3284,121254,3,0,3306
63317,3603,121254,3,0,5629
63318,3284,121257,3,0,3306
63319,3603,121257,3,0,5629
63320,3284,121260,3,2,3306
63321,3603,121260,4,4,5629
63322,1041,121263,2,0,5429
63323,1041,121263,2,0,5738
63324,10235,121266,2,0,1350
63325,12681,121269,1,1,3452.38
63326,11907,121272,1,0,3932.25
63327,3610,121275,1,0,12364
63328,10975,121275,1,0,12779.7
63329,11907,121278,4,4,3932.25
63330,2853,121281,4,0,605
63331,7213,121284,2,0,2940
63332,1043,121287,1,0,5320
63333,1548,121290,1,0,5550.9
63334,11120,121293,1,0,17016.8
63335,2853,121296,4,4,580
63336,7208,121296,8,8,800
63337,7213,121296,2,2,2820
63338,11120,121299,1,1,17016.8
63339,11104,121302,1,1,11225
63340,8444,121305,1,0,6255
63341,10529,121305,1,1,7257
63342,10529,121305,1,0,7781
63343,3624,121308,1,0,5062
63344,1041,121311,1,0,5429
63345,1041,121311,1,0,5129
63346,1041,121311,1,0,5738
63347,3284,121314,1,0,2892
63348,8444,121317,1,0,3271.8
63349,11117,121320,1,0,3528
63350,9796,121323,5,0,2656.8
63351,9796,121326,5,0,2656.8
63352,8425,121329,1,0,3374
63353,8425,121329,1,0,3468
63354,10240,121332,1,0,3927.25
63355,3620,121335,2,2,4857
63356,12678,121338,1,0,1761.9
63357,3610,121341,5,5,12605
63358,8457,121344,1,1,7751
63359,2862,121347,4,0,4200
63360,8425,121350,1,0,3374
63361,11146,121353,1,1,6963.29
63362,11146,121353,1,1,3674.88
63363,3284,121356,3,3,3306
63364,3615,121356,1,1,4328
63365,7539,121359,3,0,2964
63366,8438,121362,1,0,3511
63367,11141,121365,1,0,4610
63368,9916,121368,3,0,2619
63369,10235,121371,5,5,1350
63370,3611,121374,2,0,3149.44
63371,1041,121377,1,0,4423.22
63372,8417,121380,1,0,9412
63373,8417,121380,1,0,9116
63374,3611,121383,3,0,3149.44
63375,3611,121386,2,0,3149.44
63376,8684,121389,1,0,2714
63377,8420,121392,1,0,5626
63378,8420,121392,1,0,6221
63379,8420,121392,1,0,5824
63380,8420,121392,1,0,5720
63381,8440,121395,1,0,7521
63382,8438,121398,1,0,3393
63383,8438,121398,2,0,3511
63384,12713,121401,4,4,2400
63385,7704,121404,1,0,3081
63386,7774,121407,5,0,5597
63387,11104,121410,1,0,11225
63388,10235,121413,2,0,1325
63389,11146,121416,1,0,3833
63390,3302,121419,1,0,2880.6
63391,11140,121422,1,1,7623
63392,1041,121425,1,0,4423.22
63393,8760,121428,10,0,2335
63394,9915,121431,1,0,2447
63395,8428,121434,25,0,1540
63396,8428,121437,26,0,1540
63397,8425,121440,1,0,4106
63398,10235,121443,3,0,1324.5
63399,1041,121446,1,0,4725
63400,11118,121446,1,0,2489
63401,11117,121449,2,2,3528
63402,11156,121449,1,1,4148
63403,11907,121452,1,1,3932.25
63404,3279,121455,1,0,5300
63405,11123,121455,1,0,4729
63406,11125,121455,2,0,1891
63407,7575,121458,1,0,5745.25
63408,8422,121458,1,0,2942
63409,8438,121458,1,0,3629
63410,8440,121458,1,0,6957
63411,10235,121458,2,0,1350
63412,10235,121458,1,0,1325
63413,11163,121458,1,0,4746
63414,11731,121458,1,0,4402
63415,8428,121458,3,0,1635
63416,12700,121461,3,0,6940.7
63417,1041,121464,1,0,4423.22
63418,9925,121467,1,0,3038
63419,11143,121470,1,0,4578
63420,11143,121470,1,0,2310
63421,11143,121470,1,0,2810
63422,11143,121470,1,0,2478
63423,11143,121470,1,0,2688
63424,9796,121473,5,0,2656.8
63425,12700,121476,1,0,6940.7
63426,8664,121479,3,0,2288.2
63427,8444,121482,1,0,6156
63428,8444,121482,1,0,3271.8
63429,11146,121485,1,0,9923
63430,8428,121488,5,0,724
63431,10204,121491,1,0,2916
63432,11899,121494,1,0,11410
63433,11899,121497,1,0,11410
63434,8428,121500,25,25,1540
63435,10975,121503,1,0,19029
63436,11118,121506,5,0,2722
63437,11118,121506,5,0,2478
63438,8221,121509,50,0,2726.15
63439,8444,121512,2,0,6216
63440,8221,121515,10,0,2779.67
63441,8221,121515,10,0,2726.15
63442,1040,121518,1,0,3451.52
63443,1040,121518,1,0,3586.56
63444,10235,121521,10,10,1350
63445,10235,121521,5,5,1325
63446,10235,121524,2,0,1325
